,precision_at_k,std_precision,recall_at_k,std_recall
KNN,0.2821,+/-0.0017,0.6039, +/- 0.0036
Logistic Regression,0.3086,+/-0.003,0.6607, +/- 0.0064
Random Forest,0.3104,+/-0.0014,0.6645, +/- 0.003
XGB Model,0.3318,+/-0.0009,0.7104, +/- 0.002
Ext. Model,0.3008,+/-0.0023,0.6439, +/- 0.005
RF Model,0.3104,+/-0.0014,0.6645, +/- 0.003
CB Model,0.3353,+/-0.0011,0.7179, +/- 0.0025
LGBM Model,0.3332,+/-0.0015,0.7133, +/- 0.0031
