iter	Logloss
197	0.4178896936
198	0.4178628993
199	0.4178354845
200	0.4178017909
201	0.4177830276
202	0.4177410475
203	0.4177222842
204	0.4177129026
205	0.4176970596
206	0.4176847941
207	0.417663512
208	0.4176394191
209	0.4176208748
210	0.4176108361
211	0.41759346
212	0.4175839323
213	0.4175631613
214	0.4175345418
215	0.417515377
216	0.4174969057
217	0.4174813183
218	0.4174567508
219	0.4174272917
220	0.4174067032
221	0.4173751268
222	0.4173529686
223	0.4173373812
224	0.4173216478
225	0.4173111345
226	0.4172855084
227	0.417269483
228	0.4172464852
229	0.4172330515
230	0.4172112584
231	0.4171869829
232	0.4171665404
233	0.4171494563
234	0.4171396731
235	0.4171177704
236	0.4171043368
237	0.4170860846
238	0.4170620647
239	0.4170316199
240	0.4170149009
241	0.4169943124
242	0.4169733223
243	0.4169538289
244	0.4169318898
245	0.4169130535
246	0.4168906762
247	0.416864101
248	0.4168513244
249	0.4168311375
250	0.4168176673
251	0.4168048178
252	0.4167896684
253	0.4167805058
254	0.4167655755
255	0.4167496595
256	0.4167296186
257	0.4167049416
258	0.41667979
259	0.4166550035
260	0.4166363862
261	0.4166146661
262	0.4165913032
263	0.4165800599
264	0.4165706782
265	0.4165531196
266	0.4165420222
267	0.4165228574
268	0.41649902
269	0.416483104
270	0.4164617489
271	0.4164491184
272	0.4164371084
273	0.4164057876
274	0.4163869878
275	0.4163700862
276	0.4163511039
277	0.4163353705
278	0.4163260984
279	0.4163161692
280	0.4163035386
281	0.4162867101
282	0.4162783505
283	0.4162585286
284	0.4162481979
285	0.4162387797
286	0.4162195419
287	0.4162007056
288	0.4161824168
289	0.4161678151
290	0.4161563162
291	0.4161454013
292	0.416130836
293	0.4161175119
294	0.4161013405
295	0.4160925064
296	0.4160723194
297	0.4160527895
298	0.4160372751
299	0.4160247906
300	0.4160102253
301	0.4160021213
302	0.4159781014
303	0.4159561257
304	0.4159365228
305	0.4159256445
306	0.4158986312
307	0.4158750493
308	0.4158573812
309	0.4158479995
310	0.4158333978
311	0.415822994
312	0.4158120427
313	0.4158048513
314	0.4157923303
315	0.4157761223
316	0.4157604984
317	0.4157496931
318	0.4157372085
319	0.4157218402
320	0.4157030404
321	0.4156902273
322	0.4156654773
323	0.4156417494
324	0.415638756
325	0.4156214164
326	0.4156096985
327	0.4155793998
328	0.4155655646
329	0.4155584462
330	0.415540413
331	0.4155315424
332	0.4155222703
333	0.4155089462
334	0.4154987614
335	0.4154887957
336	0.4154693754
337	0.4154466331
338	0.4154369959
339	0.4154249129
340	0.4154138156
341	0.4154021342
342	0.4153779682
343	0.415360154
344	0.4153419018
345	0.415331352
346	0.4153159106
347	0.4152938984
348	0.4152767779
349	0.4152606794
350	0.4152429017
351	0.4152323519
352	0.4152236274
353	0.4152134791
354	0.4152062513
355	0.4151893132
356	0.4151767922
357	0.4151642711
358	0.4151460554
359	0.4151349216
360	0.4151247368
361	0.4151164138
362	0.4151029437
363	0.415093124
364	0.4150796173
365	0.4150639569
366	0.4150500487
367	0.4150355564
368	0.4150334392
369	0.4150156615
370	0.4149799602
371	0.414961927
372	0.4149464126
373	0.4149400973
374	0.4149287444
375	0.4149225751
376	0.4149100541
377	0.4149021327
378	0.4148830043
379	0.4148707753
380	0.4148483251
381	0.4148348184
382	0.4148297443
383	0.4148184279
384	0.414806637
385	0.4147917067
386	0.4147824711
387	0.4147763018
388	0.4147576115
389	0.4147461126
390	0.414732606
391	0.4147170916
392	0.4147044975
393	0.4146850772
394	0.4146712055
395	0.4146625174
396	0.4146438271
397	0.4146322917
398	0.414613857
399	0.4146066656
400	0.4145960793
401	0.4145835948
402	0.4145728625
403	0.4145550483
404	0.4145440605
405	0.4145294952
406	0.4145137253
407	0.4145052927
408	0.414483025
409	0.4144687518
410	0.4144563038
411	0.4144325394
412	0.4144266987
413	0.4144156013
414	0.4144021677
415	0.4143936256
416	0.4143832949
417	0.4143727451
418	0.414355515
419	0.4143479586
420	0.4143383944
421	0.4143252163
422	0.4143134983
423	0.4143008678
424	0.414285682
425	0.414273453
426	0.4142644729
427	0.4142430813
428	0.4142203025
429	0.4142020137
430	0.4141792715
431	0.4141657648
432	0.4141491188
433	0.414130538
434	0.4141176155
435	0.4141092924
436	0.4140950922
437	0.4140862946
438	0.4140700136
439	0.4140459207
440	0.4140388753
441	0.4140249671
442	0.4140151474
443	0.4140015678
444	0.4139880611
445	0.4139797016
446	0.4139757591
447	0.4139632381
448	0.4139536009
449	0.4139435622
450	0.4139349837
451	0.4139258576
452	0.4139136286
453	0.4139055246
454	0.4138875279
455	0.413880592
456	0.4138738387
457	0.4138694947
458	0.4138573752
459	0.4138427004
460	0.4138255798
461	0.4138070721
462	0.4137915577
463	0.413777832
464	0.413769947
465	0.4137604194
466	0.4137466937
467	0.4137402324
468	0.4137342092
469	0.4137230753
470	0.4137112479
471	0.4136977777
472	0.4136894547
473	0.4136859138
474	0.4136740863
475	0.4136711295
476	0.4136557976
477	0.4136455764
478	0.4136280542
479	0.4136175409
480	0.4136035962
481	0.41358925
482	0.4135795763
483	0.4135648285
484	0.4135573086
485	0.4135286526
486	0.4135215707
487	0.4135086117
488	0.4135015663
489	0.4134930243
490	0.4134840442
491	0.4134752101
492	0.4134737864
493	0.4134637112
494	0.4134560087
495	0.4134439258
496	0.4134308937
497	0.4134152698
498	0.4134024932
499	0.4133915419
500	0.4133695297
501	0.4133618638
502	0.4133515695
503	0.4133383549
504	0.4133277321
505	0.413323023
506	0.4133049898
507	0.413298419
508	0.4132872852
509	0.4132720628
510	0.4132625351
511	0.4132511457
512	0.4132436988
513	0.413224242
514	0.4132137652
515	0.4131990904
516	0.4131929576
517	0.4131647397
518	0.4131601766
519	0.4131527297
520	0.4131471446
521	0.4131351346
522	0.4131219565
523	0.4131123558
524	0.4131043978
525	0.4130909642
526	0.4130831157
527	0.4130643525
528	0.4130563945
529	0.4130425593
530	0.4130360615
531	0.4130227374
532	0.4129980239
533	0.4129880216
534	0.4129802097
535	0.4129689298
536	0.4129567738
537	0.412949838
538	0.4129393247
539	0.412920963
540	0.4129101211
541	0.4129011776
542	0.4128924165
543	0.4128859917
544	0.4128737992
545	0.4128569707
546	0.4128487207
547	0.4128320746
548	0.4128144065
549	0.4128069961
550	0.4128005348
551	0.4127894739
552	0.4127838157
553	0.4127723533
554	0.4127643589
555	0.4127515093
556	0.4127451575
557	0.4127338411
558	0.4127213566
559	0.4127005856
560	0.4126902548
561	0.4126610878
562	0.4126453543
563	0.4126367758
564	0.4126279782
565	0.4126113687
566	0.4126015125
567	0.4125916928
568	0.4125887724
569	0.4125792083
570	0.4125692426
571	0.4125583642
572	0.4125511364
573	0.4125417547
574	0.4125350744
575	0.4125215677
576	0.4125106164
577	0.4125011618
578	0.4124934228
579	0.4124850633
580	0.4124708266
581	0.4124675412
582	0.4124543265
583	0.4124435577
584	0.4124213995
585	0.4124032933
586	0.4123970511
587	0.412388217
588	0.412380186
589	0.4123680665
590	0.4123520046
591	0.4123398486
592	0.4123332413
593	0.4123244437
594	0.4123158651
595	0.4123074326
596	0.4123010808
597	0.4122958607
598	0.4122871361
599	0.4122755277
600	0.4122611815
601	0.412248916
602	0.4122404104
603	0.4122332556
604	0.4122225233
605	0.4122168651
606	0.4122045996
607	0.4121954735
608	0.4121891947
609	0.4121820033
610	0.4121736803
611	0.4121640431
612	0.4121539679
613	0.4121378329
614	0.4121255309
615	0.412114178
616	0.4120930785
617	0.4120740231
618	0.4120671238
619	0.4120494191
620	0.4120331747
621	0.4120135353
622	0.4120030585
623	0.4119929468
624	0.4119870695
625	0.4119764102
626	0.4119692919
627	0.4119522443
628	0.4119417675
629	0.4119343206
630	0.4119259246
631	0.4119209235
632	0.4119157033
633	0.4119028173
634	0.4118938007
635	0.4118858792
636	0.4118685761
637	0.4118610197
638	0.4118529522
639	0.4118410882
640	0.4118301369
641	0.411818711
642	0.4118137464
643	0.4118075041
644	0.4117956767
645	0.4117900915
646	0.4117758913
647	0.411769503
648	0.4117514333
649	0.4117441689
650	0.4117396789
651	0.4117235074
652	0.4117120085
653	0.4116972242
654	0.4116829509
655	0.4116730217
656	0.4116683127
657	0.4116520682
658	0.4116367363
659	0.411622171
660	0.4116096865
661	0.4116046124
662	0.4115969099
663	0.4115916898
664	0.4115834398
665	0.4115701522
666	0.4115610261
667	0.4115472274
668	0.4115406201
669	0.4115327716
670	0.4115178413
671	0.4115107594
672	0.4115015968
673	0.4114982384
674	0.411483016
675	0.4114737074
676	0.4114645813
677	0.411449505
678	0.411441985
679	0.4114319463
680	0.4114246454
681	0.4114157018
682	0.4114037649
683	0.4113926675
684	0.4113831034
685	0.4113741963
686	0.4113621498
687	0.4113507239
688	0.411339444
689	0.411330902
690	0.4113057869
691	0.411294434
692	0.4112904551
693	0.411273371
694	0.4112653035
695	0.4112563234
696	0.4112471973
697	0.411236611
698	0.4112310988
699	0.4112113134
700	0.4111980988
701	0.4111893377
702	0.4111733853
703	0.4111650623
704	0.411155133
705	0.4111509715
706	0.4111356397
707	0.4111283388
708	0.4111126784
709	0.4111019826
710	0.4110919073
711	0.4110743487
712	0.411064894
713	0.4110548553
714	0.411043977
715	0.4110312004
716	0.4110177668
717	0.4110084217
718	0.4110023619
719	0.4109972878
720	0.4109891473
721	0.4109749471
722	0.410962061
723	0.4109468021
724	0.4109396108
725	0.4109320908
726	0.4109204459
727	0.4108996749
728	0.4108952213
729	0.4108886505
730	0.4108806926
731	0.4108728076
732	0.4108594835
733	0.4108468164
734	0.4108383109
735	0.410830718
736	0.4108252423
737	0.4108187445
738	0.410806406
739	0.4108005288
740	0.4107933009
741	0.4107830432
742	0.4107772024
743	0.4107635498
744	0.4107517223
745	0.4107388728
746	0.4107300387
747	0.4107143783
748	0.4106989369
749	0.4106855033
750	0.4106775453
751	0.4106615928
752	0.4106540729
753	0.4106458959
754	0.410637938
755	0.4106295054
756	0.410621657
757	0.4106150132
758	0.4106036238
759	0.4105949722
760	0.4105863207
761	0.410576647
762	0.4105719744
763	0.4105651846
764	0.4105569711
765	0.4105520065
766	0.410544231
767	0.410527439
768	0.4105209047
769	0.4105052078
770	0.4104876491
771	0.4104762232
772	0.4104615849
773	0.4104530064
774	0.4104401933
775	0.4104302276
776	0.4104191668
777	0.4104143482
778	0.4104030683
779	0.4103897807
780	0.4103774057
781	0.4103703238
782	0.4103666004
783	0.4103611612
784	0.410343566
785	0.4103372143
786	0.4103218094
787	0.4103079742
788	0.4102920583
789	0.410277712
790	0.4102681113
791	0.4102486545
792	0.410240879
793	0.4102268613
794	0.4102189033
795	0.4101976577
796	0.4101909044
797	0.4101811942
798	0.410175463
799	0.41015889
800	0.4101483037
801	0.4101385205
802	0.41012589
803	0.4101151212
804	0.4101080393
805	0.4100951532
806	0.4100881809
807	0.4100738711
808	0.4100662782
809	0.4100578822
810	0.4100503258
811	0.4100310514
812	0.4100215603
813	0.4100102439
814	0.4099957516
815	0.4099783025
816	0.4099697239
817	0.4099600138
818	0.4099486974
819	0.4099422361
820	0.4099348987
821	0.4099229617
822	0.4099187637
823	0.4099042715
824	0.409896642
825	0.4098905823
826	0.4098879905
827	0.409879996
828	0.4098725126
829	0.4098600646
830	0.4098520336
831	0.409843017
832	0.4098246187
833	0.4098138499
834	0.4098041032
835	0.4097991021
836	0.409789903
837	0.4097779295
838	0.4097627437
839	0.4097568665
840	0.4097482879
841	0.409740768
842	0.4097339782
843	0.4097249616
844	0.4097136452
845	0.4097018543
846	0.4096967436
847	0.4096881286
848	0.4096792945
849	0.409667321
850	0.4096611883
851	0.4096532668
852	0.409646842
853	0.4096334814
854	0.409622019
855	0.409613769
856	0.4096085854
857	0.4095978896
858	0.4095916473
859	0.4095881794
860	0.4095815356
861	0.4095755488
862	0.4095624438
863	0.4095567126
864	0.4095482435
865	0.40953554
866	0.4095309769
867	0.4095193685
868	0.4095085632
869	0.4095031605
870	0.4094957501
871	0.4094788851
872	0.4094553032
873	0.4094507401
874	0.4094338751
875	0.4094246394
876	0.409416718
877	0.4094080664
878	0.409396166
879	0.4093826593
880	0.409363969
881	0.4093562301
882	0.4093540033
883	0.4093467389
884	0.4093345099
885	0.409326844
886	0.4093171703
887	0.4093118042
888	0.4092997942
889	0.4092895
890	0.4092758838
891	0.4092658816
892	0.4092587997
893	0.4092531415
894	0.4092447455
895	0.4092329181
896	0.4092276979
897	0.409216418
898	0.4092110154
899	0.4091971437
900	0.4091877255
901	0.409179512
902	0.4091743284
903	0.4091653483
904	0.4091610408
905	0.4091540319
906	0.4091446868
907	0.4091377874
908	0.4091290264
909	0.4091210684
910	0.4091159213
911	0.4091094965
912	0.4091003339
913	0.409093033
914	0.4090882874
915	0.4090812055
916	0.4090741237
917	0.4090617122
918	0.4090534987
919	0.4090448106
920	0.4090351369
921	0.4090207542
922	0.4090129057
923	0.4090044732
924	0.4089958946
925	0.4089820229
926	0.408978336
927	0.4089707796
928	0.4089609234
929	0.4089510307
930	0.4089425616
931	0.408937159
932	0.4089293105
933	0.408916607
934	0.4089091601
935	0.4089047795
936	0.4088980627
937	0.4088864908
938	0.4088767806
939	0.4088724731
940	0.4088655007
941	0.408859733
942	0.4088526877
943	0.408843087
944	0.4088328292
945	0.4088238126
946	0.4088173879
947	0.408806546
948	0.4088033701
949	0.408789681
950	0.4087798248
951	0.4087688004
952	0.4087600029
953	0.4087551843
954	0.4087472993
955	0.408736202
956	0.4087253601
957	0.4087160515
958	0.4087075825
959	0.4086988214
960	0.4086930172
961	0.4086866289
962	0.4086802041
963	0.4086711145
964	0.4086677561
965	0.4086621344
966	0.408654359
967	0.4086438457
968	0.4086338435
969	0.4086257395
970	0.4086175625
971	0.40861362
972	0.4086078523
973	0.4085993103
974	0.4085909507
975	0.4085861321
976	0.4085760934
977	0.4085611996
978	0.4085579142
979	0.408543714
980	0.4085345149
981	0.4085267394
982	0.4085198766
983	0.408511371
984	0.4084998356
985	0.4084887018
986	0.4084815469
987	0.4084715082
988	0.4084654119
989	0.4084582205
990	0.4084485104
991	0.4084379241
992	0.4084235048
993	0.4084196718
994	0.4084137946
995	0.4084047415
996	0.4083929141
997	0.4083888621
998	0.4083810866
999	0.4083676165
